applicant_id,race_ethnicity,annual_income,loan_amount,actual_outcome,model_predicted_prob
1,White,73505,236559,0,0.4933
2,White,76570,248045,0,0.5911
3,White,91796,311698,1,0.7388
4,Black,91174,360231,1,0.6852
5,Black,39743,277159,0,0.01
6,White,62004,377176,0,0.2685
7,White,69493,335980,1,0.4117
8,Black,50460,419934,0,0.0486
9,Black,85872,239736,0,0.5871
10,White,112680,219877,1,0.8732
11,White,113104,296785,1,0.9174
12,Black,71841,366461,1,0.39
13,Black,34379,336852,0,0.01
14,White,86537,261597,1,0.6838
15,Black,66436,285639,0,0.288
16,Black,86468,323899,1,0.625
17,White,119132,211651,1,0.9432
18,Black,96441,350671,1,0.7811
19,White,85182,447026,1,0.5584
20,White,77689,183339,0,0.6916
21,Black,82063,403891,0,0.492
22,White,60542,255552,1,0.2963
23,Black,92778,350177,1,0.639
24,White,66706,325615,1,0.3974
25,White,97410,346379,1,0.8305
26,White,81781,326298,0,0.5786
27,White,77234,236599,0,0.5908
28,White,67289,426030,1,0.3661
29,Black,66558,352529,0,0.3103
30,Black,71917,203657,1,0.323
31,White,105877,290183,1,0.8853
32,White,95528,285363,1,0.8973
33,White,112277,309282,1,0.9712
34,White,135783,374808,1,0.99
35,Black,80868,285347,1,0.4941
36,White,80882,286823,1,0.6002
37,Black,45979,322589,0,0.0561
38,Black,56805,286560,0,0.1716
39,Black,65822,448251,0,0.2178
40,White,67657,260856,0,0.4134
41,White,97352,312608,0,0.7616
42,Black,89703,281973,1,0.7287
43,White,89525,147513,1,0.6862
44,White,101948,301646,1,0.8726
45,Black,112963,233855,1,0.8965
46,Black,79312,375063,0,0.4788
47,White,105986,264992,1,0.9046
48,White,111502,358063,1,0.99
49,Black,93607,217645,1,0.7239
50,White,65910,146180,0,0.3708
51,White,69976,343095,0,0.3328
52,Black,89573,318372,0,0.5987
53,White,100399,185184,1,0.897
54,Black,86112,353306,0,0.6257
55,White,93489,265649,1,0.8104
56,White,103810,329386,1,0.904
57,Black,90586,278237,1,0.7232
58,White,87917,285737,0,0.6898
59,Black,37571,203141,0,0.01
60,White,69564,297216,0,0.359
61,Black,82284,367293,1,0.4752
62,White,80208,314136,1,0.5038
63,White,109187,227511,1,0.8629
64,White,95759,255977,1,0.8773
65,White,139688,310562,1,0.9091
66,White,86875,354839,1,0.673
67,White,56871,337955,0,0.1653
68,Black,66920,372056,0,0.2584
69,White,65739,250756,0,0.3589
70,Black,52247,345072,0,0.0649
71,White,85839,214516,1,0.7277
72,Black,70444,399454,0,0.4214
73,Black,76961,291728,1,0.3402
74,White,99806,304122,1,0.8053
75,White,75950,259148,1,0.5188
76,White,100540,329748,1,0.9022
77,White,105911,357218,0,0.8643
78,Black,71001,383048,0,0.3527
79,White,66479,254355,0,0.3038
80,White,74740,246841,0,0.419
81,White,99202,337831,1,0.9062
82,White,86849,338413,0,0.5966
83,White,97601,363154,0,0.935
84,Black,43215,313291,0,0.0635
85,Black,47365,395621,0,0.0908
86,White,68821,296857,0,0.4272
87,Black,91088,274309,1,0.6524
88,White,86027,249225,1,0.6955
89,Black,57097,374387,0,0.1432
90,White,106323,330133,1,0.9174
91,White,65819,226549,0,0.3499
92,Black,108853,186898,1,0.7777
93,White,103102,290831,1,0.8233
94,White,72921,438614,0,0.4162
95,White,91088,267829,1,0.7936
96,Black,92758,253664,0,0.6548
97,Black,90478,239571,1,0.5617
98,White,102438,315416,1,0.8815
99,White,113747,293011,1,0.99
100,Black,67156,225482,1,0.3308
101,White,111617,295014,1,0.8897
102,White,104764,211614,1,0.7998
103,Black,64194,298399,1,0.2406
104,Black,65838,252209,0,0.2639
105,White,61948,291033,1,0.2468
106,Black,97998,263527,1,0.77
107,White,88300,274586,1,0.8005
108,White,67881,326864,0,0.3946
109,White,84207,432321,1,0.6568
110,Black,32924,315177,0,0.01
111,Black,63239,273772,1,0.3033
112,White,92146,271995,0,0.7545
113,Black,89667,348876,0,0.6177
114,Black,77952,266399,0,0.4722
115,White,67137,331134,0,0.3955
116,Black,86335,298231,1,0.6074
117,White,116207,266207,1,0.99
118,White,87571,317688,1,0.7173
119,Black,71888,365713,0,0.3541
120,White,59582,230891,0,0.2836
121,White,132780,189834,1,0.99
122,White,121868,264355,1,0.8931
123,Black,69787,260635,0,0.3915
124,Black,70644,260746,0,0.3329
125,White,85302,279600,1,0.6515
126,White,93841,200851,1,0.8159
127,Black,85452,251192,1,0.6248
128,Black,66767,321528,1,0.2511
129,White,76110,344827,1,0.5586
130,White,51617,169305,0,0.1458
131,Black,63959,348044,1,0.3349
132,White,118226,311000,1,0.9055
133,White,78315,232053,0,0.567
134,Black,61937,317331,0,0.176
135,White,91355,280041,1,0.8596
136,Black,68552,221986,1,0.2523
137,White,103907,239346,1,0.8992
138,White,110328,288957,1,0.8766
139,White,92545,233047,1,0.7454
140,Black,72758,309420,0,0.4054
141,Black,81262,358633,0,0.5841
142,Black,93683,235742,1,0.7777
143,Black,87324,66343,0,0.5377
144,White,59401,213573,1,0.2746
145,White,80252,363314,1,0.6596
146,White,122440,120438,1,0.8751
147,White,84611,155297,1,0.6706
148,White,66348,205561,0,0.3596
149,White,59101,209348,1,0.2781
150,White,82897,292222,1,0.5901
151,Black,60722,326801,0,0.1267
152,Black,32541,331388,0,0.01
153,White,115861,271007,1,0.9873
154,White,111465,311665,1,0.9744
155,White,82431,329993,0,0.6365
156,White,75686,200407,1,0.4847
157,Black,54499,345169,0,0.042
158,Black,73430,370021,1,0.422
159,White,93099,309118,0,0.7147
160,White,103194,233639,1,0.832
161,Black,57410,264556,1,0.1271
162,Black,55718,343639,0,0.1267
163,Black,68635,284077,0,0.2775
164,Black,71139,251650,1,0.3577
165,White,47052,285924,0,0.1032
166,White,110610,272179,1,0.9499
167,White,72697,310028,0,0.5133
